row_ref,expected_decision,matched_row_ref,expected_enrichment_fields,expected_enrichment_resolution,is_planted_trap_case,trap_case_type
A_CLOTH_001,new_product,,,no_action_needed,False,None
A_CLOTH_002,new_product,,,no_action_needed,False,None
A_CLOTH_003,new_product,,,no_action_needed,False,None
A_CLOTH_004,new_product,,,no_action_needed,False,None
A_CLOTH_005,new_product,,,no_action_needed,False,None
A_CLOTH_006,new_product,,,no_action_needed,False,None
A_CLOTH_007,new_product,,,no_action_needed,False,None
A_CLOTH_008,new_product,,,no_action_needed,False,None
A_CLOTH_009,new_product,,,no_action_needed,False,None
A_CLOTH_010,new_product,,,no_action_needed,False,None
A_CLOTH_011,new_product,,,no_action_needed,False,None
A_CLOTH_012,new_product,,,no_action_needed,False,None
A_CLOTH_013,new_product,,,no_action_needed,False,None
A_CLOTH_014,new_product,,,no_action_needed,False,None
A_CLOTH_015,new_product,,,no_action_needed,False,None
A_CLOTH_016,new_product,,,no_action_needed,False,None
A_CLOTH_017,new_product,,,no_action_needed,False,None
A_CLOTH_018,new_product,,,no_action_needed,False,None
A_CLOTH_019,new_product,,,no_action_needed,False,None
A_CLOTH_020,new_product,,,no_action_needed,False,None
A_CLOTH_021,new_product,,,no_action_needed,False,None
A_CLOTH_022,new_product,,,no_action_needed,False,None
A_CLOTH_023,new_product,,,no_action_needed,False,None
A_CLOTH_024,new_product,,,no_action_needed,False,None
A_CLOTH_025,new_product,,,no_action_needed,False,None
A_CLOTH_026,new_product,,,no_action_needed,False,None
A_CLOTH_027,new_product,,,no_action_needed,False,None
A_CLOTH_028,new_product,,,no_action_needed,False,None
A_CLOTH_029,new_product,,,no_action_needed,False,None
A_CLOTH_030,new_product,,,no_action_needed,False,None
A_CLOTH_031,new_product,,,no_action_needed,False,None
A_CLOTH_032,new_product,,,no_action_needed,False,None
A_CLOTH_033,new_product,,,no_action_needed,False,None
A_CLOTH_034,new_product,,,no_action_needed,False,None
A_CLOTH_035,new_product,,,no_action_needed,False,None
A_CLOTH_036,new_product,,,no_action_needed,False,None
A_CLOTH_037,new_product,,,no_action_needed,False,None
A_CLOTH_038,new_product,,,no_action_needed,False,None
A_CLOTH_039,new_product,,,no_action_needed,False,None
A_CLOTH_040,new_product,,,no_action_needed,False,None
A_CLOTH_041,new_product,,,no_action_needed,False,None
A_CLOTH_042,new_product,,,no_action_needed,False,None
A_CLOTH_043,new_product,,,no_action_needed,False,None
A_CLOTH_044,new_product,,,no_action_needed,False,None
A_CLOTH_045,new_product,,,no_action_needed,False,None
A_CLOTH_046,new_product,,,no_action_needed,False,None
A_CLOTH_047,new_product,,,no_action_needed,False,None
A_CLOTH_048,new_product,,,no_action_needed,False,None
A_CLOTH_049,new_product,,,no_action_needed,False,None
A_CLOTH_050,new_product,,,no_action_needed,False,None
A_CLOTH_051,new_product,,,no_action_needed,False,None
A_CLOTH_052,new_product,,,no_action_needed,False,None
A_CLOTH_053,new_product,,,no_action_needed,False,None
A_CLOTH_054,new_product,,,no_action_needed,False,None
A_CLOTH_055,new_product,,,no_action_needed,False,None
A_CLOTH_056,new_product,,,no_action_needed,False,None
A_CLOTH_057,new_product,,,no_action_needed,False,None
A_CLOTH_058,new_product,,,no_action_needed,False,None
A_CLOTH_059,new_product,,,no_action_needed,False,None
A_CLOTH_060,new_product,,,no_action_needed,False,None
A_CLOTH_061,new_product,,,no_action_needed,False,None
A_CLOTH_062,new_product,,,no_action_needed,False,None
A_CLOTH_063,new_product,,,no_action_needed,False,None
A_CLOTH_064,new_product,,,no_action_needed,False,None
A_CLOTH_065,new_product,,,no_action_needed,False,None
A_CLOTH_066,new_product,,,no_action_needed,False,None
A_CLOTH_067,new_product,,,no_action_needed,False,None
A_CLOTH_068,new_product,,,no_action_needed,False,None
A_CLOTH_069,new_product,,,no_action_needed,False,None
A_CLOTH_070,new_product,,,no_action_needed,False,None
A_CLOTH_071,new_product,,,no_action_needed,False,None
A_CLOTH_072,new_product,,,no_action_needed,False,None
